,feature,class
20,"[-4.2183746e+02  1.7535315e+02 -3.7847893e+01  8.6764927e+00
  3.2752560e+01 -2.3180727e+01 -3.8172417e+00  6.0654655e+00
 -2.2372890e+01 -6.8390241e+00 -3.7874809e-01 -1.7292866e+01
 -4.2431927e+00  9.9554056e-01 -1.1233746e+01 -4.8322959e+00
 -1.3262230e+00 -5.6113658e+00 -2.1351264e+00 -5.0941610e+00
 -6.7040005e+00 -9.0740705e-01 -5.6225514e+00 -8.8356733e+00
 -2.6358838e+00 -4.1923270e+00 -7.1925702e+00 -4.4063725e+00
 -4.7660360e+00 -5.2160029e+00 -4.6016307e+00 -5.8443508e+00
 -4.1548138e+00 -3.1630943e+00 -5.4123635e+00 -4.7649450e+00
 -4.0888677e+00 -5.2521577e+00 -4.4152832e+00 -3.8475182e+00]",akash
21,"[-3.8998764e+02  1.9584142e+02 -2.4303331e+01  2.4740908e+01
  4.6736298e+01 -1.6292786e+01  2.0310182e-02  8.8602467e+00
 -1.9830139e+01 -3.2773201e+00  2.3826303e+00 -1.5899866e+01
 -2.8174803e+00  2.5036254e+00 -9.5986567e+00 -3.7170455e+00
 -1.3821857e+00 -5.0363169e+00 -3.0857018e-01 -3.4448111e+00
 -5.2911091e+00  6.7156404e-01 -3.7761171e+00 -7.2663364e+00
 -2.9479778e+00 -5.2432070e+00 -6.5160518e+00 -3.4718828e+00
 -4.7539577e+00 -4.1966619e+00 -2.6087637e+00 -4.5044107e+00
 -3.6869216e+00 -3.0625391e+00 -4.6512542e+00 -3.4929111e+00
 -3.8638995e+00 -4.9899707e+00 -2.3180816e+00 -2.0751050e+00]",akash
22,"[-4.0634512e+02  1.7560036e+02 -3.0820839e+01  3.4855158e+00
  3.2488304e+01 -1.6999306e+01 -8.2901449e+00  1.9167740e+00
 -1.7785662e+01 -3.8702629e+00  2.8578763e+00 -1.2672103e+01
 -5.1201019e+00 -6.6764772e-02 -9.0973368e+00 -4.8046288e+00
 -1.4061356e+00 -4.8569837e+00 -3.2279575e+00 -4.4750338e+00
 -4.5343070e+00 -8.2692260e-01 -4.5106282e+00 -6.3441305e+00
 -2.5967262e+00 -4.7539792e+00 -6.3557286e+00 -3.8706114e+00
 -4.8643808e+00 -5.3250012e+00 -4.1715975e+00 -5.1989059e+00
 -4.7204509e+00 -3.7755229e+00 -4.8779159e+00 -4.9686303e+00
 -4.5814257e+00 -4.1279016e+00 -3.0951996e+00 -3.5521915e+00]",akash
23,"[-4.1016260e+02  1.7085201e+02 -2.3186426e+01  5.9865284e+00
  3.1141417e+01 -1.4406825e+01 -5.3485065e+00  2.8412676e+00
 -1.7985567e+01 -6.0610099e+00  6.4215803e-01 -1.3357182e+01
 -6.0099754e+00 -3.9925790e-01 -7.6975446e+00 -3.4243746e+00
 -7.4661672e-01 -4.9546814e+00 -4.4835253e+00 -5.2333217e+00
 -4.4575300e+00 -2.1479983e+00 -6.3156524e+00 -6.7172127e+00
 -3.2738452e+00 -5.8527970e+00 -5.6378069e+00 -2.9056487e+00
 -5.4040637e+00 -5.3162746e+00 -3.3758802e+00 -4.9753346e+00
 -4.2481565e+00 -3.6105721e+00 -5.9997964e+00 -5.3360023e+00
 -4.5422630e+00 -6.1201143e+00 -4.7940083e+00 -2.5635841e+00]",akash
24,"[-418.65442    171.80038    -31.412455     8.737587    33.031395
  -22.543756    -9.754357     5.5144176  -13.868894    -2.050186
    1.1554232  -14.212068    -4.2757664   -1.4876994  -11.073562
   -3.1210501   -1.4652808   -7.9500446   -3.6340806   -4.4950056
   -7.358238    -3.0916214   -5.7639213   -7.6666207   -3.5930848
   -7.040129    -8.539721    -3.4911137   -5.406357    -7.828918
   -4.7258115   -4.3650174   -5.135958    -4.8011675   -4.9754353
   -3.5695753   -3.4677925   -4.5719447   -2.5455022   -1.7065235]",akash
25,"[-440.86        184.247       -38.238052      8.143977     36.366886
  -22.17301      -7.4628086     4.8261476   -19.541607     -4.6977005
    0.9740806   -14.213991     -0.9561446     2.311703    -10.746617
   -3.5840392    -0.91453236   -7.452191     -2.9657025    -3.3064115
   -6.448547     -2.208402     -3.7904198    -5.859634     -3.0045693
   -5.4128447    -6.530861     -4.257049     -6.1929307    -5.5333686
   -2.6919954    -4.230628     -4.083341     -2.9396832    -5.3079557
   -5.484506     -3.4118652    -3.845474     -4.901605     -4.183704  ]",akash
26,"[-4.1358423e+02  1.6244965e+02 -1.2594300e+01  2.7573233e+00
  2.5933098e+01 -1.5949109e+01 -1.3060382e+01  2.0686040e+00
 -1.1154713e+01 -5.2877288e+00  1.9098749e+00 -8.6187916e+00
 -4.9587612e+00  1.3152100e-01 -6.8492846e+00 -5.7272129e+00
 -4.7923102e+00 -9.1757336e+00 -4.7023411e+00 -2.2581544e+00
 -6.5875878e+00 -4.6090646e+00 -2.2186174e+00 -3.7624741e+00
 -2.9046581e+00 -3.6396241e+00 -5.0065212e+00 -2.8862994e+00
 -3.8559983e+00 -6.1222477e+00 -4.1105766e+00 -3.5770314e+00
 -4.8186975e+00 -3.7218258e+00 -3.6929405e+00 -4.6207829e+00
 -3.8689644e+00 -3.8886070e+00 -4.5248051e+00 -4.1103835e+00]",akash
27,"[-411.7058     182.13844     -9.740061    19.039124    38.08041
  -16.523458    -5.995208    10.54092    -12.452096    -6.2723155
    3.0762553   -8.205373    -2.3163009    1.3030059   -7.680922
   -3.0749435   -1.1874392   -7.36063     -3.5649834   -3.1496887
   -7.4438853   -3.6360018   -3.213457    -5.3981056   -1.6078019
   -2.881655    -6.7459154   -3.86609     -2.7002127   -4.681854
   -4.7496147   -5.453743    -5.398308    -4.339957    -5.1045723
   -4.433484    -3.481952    -4.986653    -4.1145916   -1.9871813]",akash
28,"[-408.35226    185.74957    -25.231611    12.493949    37.10222
  -17.62599     -5.7370477    4.0960507  -18.931684    -3.412031
    3.2775447  -13.816382    -3.8949244    2.1062486   -8.503514
   -4.3981724   -1.6989069   -5.552686    -2.7364643   -4.541307
   -5.6468086   -0.9005658   -3.1669087   -4.639344    -2.6233494
   -6.0176554   -5.3452206   -3.0196164   -7.1871095   -5.4764175
   -1.5572242   -5.602144    -5.692721    -2.311407    -4.8391104
   -5.6706543   -3.4910762   -4.352625    -5.336279    -5.0647173]",akash
29,"[-443.97314    160.9684     -10.770856     7.4689846   32.785076
  -10.458523   -10.531274     6.194971    -5.4709516   -4.9065037
   -1.3299737   -7.9128942   -1.8945117    1.8485105   -4.309155
   -2.5975401   -2.2418041   -5.0909505   -1.5266123   -3.5170114
   -8.213292    -4.1461487   -3.2084537   -5.793966    -3.0458941
   -3.6668816   -6.840015    -4.535369    -3.553674    -4.785607
   -3.4000008   -3.8549685   -5.3485928   -4.2449565   -4.747495
   -6.325348    -5.1571903   -3.7874002   -3.6566455   -3.1142886]",akash
